Region;Localidad;Reg;
13;Fanor;fnr;1
13;El Salto;slt;1
8;Concepcion;ccp;1
13;La Cisterna;lci;1
13;Puente Alto;pal;1
13;Quilicura;qui;1
5;Vina del Mar;vdm;1
13;Estacion Central;ect;1
12;Punta Arenas;par;1
2;Antofagasta;atf;1
13;Independencia;ind;1
9;Temuco;tem;1
4;La Serena;las;1
13;Maipu;mpu;1
13;Santa Rosa;sro;1
1;Iquique;iqi;1
10;Puerto Montt;ptm;1
14;Valdivia;vda;1
10;Osorno;oso;1
6;Rancagua;rcg;1
7;Curico;cur;1
7;Talca;tca;1
13;Nunoa;nun;1
7;Linares;lin;1
16;Chillan;chn;1
6;San Fernando;sfd;1
5;Los Andes;lan;1
5;Quillota;qla;1
3;Copiapo;cop;1
2;Calama;cma;1
15;Arica;ari;1
5;Los Angeles;lsa;1
